2016-04-17 20:50:46.650425, 2001, 41192, 3072, 0, 0, 0.002375
2016-04-17 20:50:46.653488, 2000, 2001, 0, 3200, 16, 0.002375
2016-04-17 20:50:46.654738, 2001, 41192, 3200, 0, 0, 0.002672
2016-04-17 20:50:46.656534, 2000, 2001, 0, 3328, 16, 0.002672
2016-04-17 20:50:46.658287, 2001, 41192, 3328, 0, 0, 0.002665
2016-04-17 20:50:46.665603, 2001, 41192, 3328, 0, 0, 0.002665
2016-04-17 20:50:46.666931, 2000, 2001, 0, 3456, 16, 0.002665
2016-04-17 20:50:46.667592, 2001, 41192, 3456, 0, 0, 0.002625
2016-04-17 20:50:46.669012, 2000, 2001, 0, 3584, 16, 0.002625
2016-04-17 20:50:46.669699, 2001, 41192, 3584, 0, 0, 0.002524
2016-04-17 20:50:46.671071, 2000, 2001, 0, 3712, 16, 0.002524
2016-04-17 20:50:46.671861, 2001, 41192, 3712, 0, 0, 0.002441
2016-04-17 20:50:46.678749, 2001, 41192, 3712, 0, 0, 0.002441
2016-04-17 20:50:46.680335, 2000, 2001, 0, 3840, 16, 0.002441
2016-04-17 20:50:46.681973, 2001, 41192, 3840, 0, 0, 0.002559
2016-04-17 20:50:46.682537, 2000, 2001, 0, 3968, 16, 0.002559
2016-04-17 20:50:46.683447, 2001, 41192, 3968, 0, 0, 0.002425
2016-04-17 20:50:46.690127, 2001, 41192, 3968, 0, 0, 0.002425
2016-04-17 20:50:46.691213, 2000, 2001, 0, 4096, 16, 0.002425
2016-04-17 20:50:46.691843, 2001, 41192, 4096, 0, 0, 0.002378
2016-04-17 20:50:46.698018, 2001, 41192, 4096, 0, 0, 0.002378
2016-04-17 20:50:46.703799, 2001, 41192, 4096, 0, 0, 0.002378
2016-04-17 20:50:46.705228, 2000, 2001, 0, 4224, 16, 0.002378
2016-04-17 20:50:46.705835, 2001, 41192, 4224, 0, 0, 0.002334
2016-04-17 20:50:46.712404, 2001, 41192, 4224, 0, 0, 0.002334
2016-04-17 20:50:46.717925, 2001, 41192, 4224, 0, 0, 0.002334
2016-04-17 20:50:46.719246, 2000, 2001, 0, 4352, 16, 0.002334
2016-04-17 20:50:46.720018, 2001, 41192, 4352, 0, 0, 0.002310
2016-04-17 20:50:46.725099, 2001, 41192, 4352, 0, 0, 0.002310
2016-04-17 20:50:46.730790, 2001, 41192, 4352, 0, 0, 0.002310
2016-04-17 20:50:46.731971, 2000, 2001, 0, 4480, 16, 0.002310
2016-04-17 20:50:46.733215, 2001, 41192, 4480, 0, 0, 0.002352
2016-04-17 20:50:46.737940, 2001, 41192, 4480, 0, 0, 0.002352
2016-04-17 20:50:46.743063, 2001, 41192, 4480, 0, 0, 0.002352
2016-04-17 20:50:46.744605, 2000, 2001, 0, 4608, 16, 0.002352
2016-04-17 20:50:46.745571, 2001, 41192, 4608, 0, 0, 0.002359
2016-04-17 20:50:46.750266, 2001, 41192, 4608, 0, 0, 0.002359
2016-04-17 20:50:46.760460, 2001, 41192, 4608, 0, 0, 0.002359
2016-04-17 20:50:46.760672, 2000, 2001, 0, 4736, 16, 0.002359
2016-04-17 20:50:46.762611, 2001, 41192, 4736, 0, 0, 0.002776
2016-04-17 20:50:46.763395, 2000, 2001, 0, 4864, 16, 0.002776
2016-04-17 20:50:46.764082, 2001, 41192, 4864, 0, 0, 0.002661
2016-04-17 20:50:46.765568, 2000, 2001, 0, 4992, 16, 0.002661
2016-04-17 20:50:46.766253, 2001, 41192, 4992, 0, 0, 0.002575
2016-04-17 20:50:46.773884, 2001, 41192, 4992, 0, 0, 0.002575
2016-04-17 20:50:46.780895, 2001, 41192, 4992, 0, 0, 0.002575
2016-04-17 20:50:46.782252, 2000, 2001, 0, 5120, 16, 0.002575
2016-04-17 20:50:46.783358, 2001, 41192, 5120, 0, 0, 0.002542
2016-04-17 20:50:46.785164, 2000, 2001, 0, 5248, 16, 0.002542
2016-04-17 20:50:46.786189, 2001, 41192, 5248, 0, 0, 0.002554
2016-04-17 20:50:46.787795, 2000, 2001, 0, 5376, 16, 0.002554
2016-04-17 20:50:46.788557, 2001, 41192, 5376, 0, 0, 0.002529
2016-04-17 20:50:46.795571, 2001, 41192, 5376, 0, 0, 0.002529
2016-04-17 20:50:46.796914, 2000, 2001, 0, 5504, 16, 0.002529
2016-04-17 20:50:46.798704, 2001, 41192, 5504, 0, 0, 0.002673
2016-04-17 20:50:46.805193, 2001, 41192, 5504, 0, 0, 0.002673
